date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-13,19.808333333333334,12.266666666666666,186.58333333333334,14.158333333333333,8.762500000000001,41.708333333333336,0.30291666666666667,5.458333333333333,1.4916666666666665,49.333333333333336,25.083333333333332
2022-08-14,18.1125,11.504166666666668,199.25,15.945833333333333,10.416666666666666,34.333333333333336,0.32375000000000004,2.75,1.325,50.083333333333336,24.5
2022-08-15,23.916666666666668,15.329166666666666,240.95833333333334,18.925,9.366666666666667,29.791666666666668,0.30125,4.041666666666667,0.59375,51.333333333333336,25.458333333333332
2022-08-16,21.858333333333334,15.191666666666668,206.58333333333334,17.425,5.716666666666666,34.083333333333336,0.2891666666666667,1.5,0.12916666666666668,58.583333333333336,32.0
2022-08-17,14.85,9.895833333333334,171.79166666666666,11.858333333333334,6.2,37.208333333333336,0.27375,2.125,0.6979166666666666,49.291666666666664,24.541666666666668
2022-08-18,19.645833333333332,12.416666666666666,186.0,13.575000000000001,8.258333333333333,35.5,0.43875,4.75,0.9812500000000001,47.083333333333336,22.625
2022-08-19,25.108333333333334,15.291666666666666,217.58333333333334,17.570833333333333,9.512500000000001,30.291666666666668,0.49666666666666665,7.583333333333333,1.5374999999999999,52.458333333333336,26.375
2022-08-20,31.90416666666667,18.254166666666666,251.08333333333334,18.7625,10.879166666666668,27.25,0.6379166666666667,12.791666666666666,1.5020833333333332,59.291666666666664,32.75
2022-08-21,33.516666666666666,17.829166666666666,212.33333333333334,14.766666666666666,9.270833333333334,32.375,0.7133333333333334,19.041666666666668,1.59375,64.83333333333333,37.916666666666664
2022-08-22,27.145833333333332,14.508333333333333,166.91666666666666,11.9625,6.479166666666667,31.208333333333332,0.5416666666666666,15.166666666666666,1.2791666666666666,58.916666666666664,32.416666666666664
2022-08-23,26.587500000000002,15.325000000000001,156.08333333333334,11.441666666666668,5.6875,26.208333333333332,0.59,12.75,0.45,55.666666666666664,29.375
2022-08-24,34.233333333333334,19.345833333333335,227.625,16.01666666666667,8.512500000000001,30.291666666666668,0.6325,17.0,0.975,59.083333333333336,32.625
2022-08-25,34.6625,20.275000000000002,288.5833333333333,21.875,12.470833333333333,30.291666666666668,0.5358333333333333,13.041666666666666,1.8083333333333333,68.58333333333333,42.875
2022-08-26,41.2125,23.84583333333333,364.0,21.8875,12.758333333333333,33.083333333333336,0.4791666666666667,16.5,2.0229166666666667,67.66666666666667,41.416666666666664
2022-08-27,48.3375,28.0,399.0,22.554166666666664,11.504166666666668,38.875,0.5779166666666667,18.416666666666668,1.7520833333333332,82.875,61.75
2022-08-28,64.85000000000001,33.97083333333333,522.8333333333334,21.78333333333333,15.1,38.666666666666664,0.6383333333333333,39.958333333333336,1.59375,89.08333333333333,64.25
2022-08-29,65.28750000000001,37.4125,641.0833333333334,32.32083333333333,18.416666666666668,35.916666666666664,0.53625,26.875,1.9520833333333334,108.20833333333333,70.91666666666667
2022-08-30,82.69583333333334,51.2875,791.4583333333334,41.525,22.316666666666666,49.458333333333336,0.63,18.875,1.7291666666666667,128.33333333333334,77.45833333333333
2022-08-31,48.208333333333336,29.3,466.7916666666667,23.883333333333336,9.295833333333333,58.375,0.5375,11.708333333333334,1.8624999999999998,102.83333333333333,69.16666666666667
2022-09-01,48.525,30.0125,419.8333333333333,22.304166666666664,8.520833333333334,51.833333333333336,0.5591666666666667,9.458333333333334,1.55,85.66666666666667,63.083333333333336
2022-09-02,53.10833333333333,34.4,553.125,36.34166666666667,12.920833333333334,50.458333333333336,0.44083333333333335,6.666666666666667,1.7270833333333335,93.0,65.75
2022-09-03,53.020833333333336,35.0375,615.2083333333334,29.662499999999998,11.366666666666667,50.125,0.30833333333333335,4.375,2.125,111.375,72.04166666666667
