date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,year,month,day,dayofweek,is_weekend,season_Monsoon,season_Post-Monsoon,season_Summer,season_Winter
2023-09-19,-1.5785596963666706,-1.25936248642223,-1.0637451187343958,-0.9411278565027174,-1.0530988381105013,-1.1294488531518485,-0.3388738848433557,-0.6805517691141764,-2.2561732627588427,48.375,2023,9,19,1,0,1,0,0,0
2023-09-20,-1.0883887901100497,-0.9413407682098841,-0.9345688859223048,-0.8078749871846982,-0.6671738091234741,-1.0979594416529825,0.4549959576158414,-0.40903254545922785,-1.8008091442532905,49.66666666666666,2023,9,20,2,0,1,0,0,0
2023-09-21,-0.6756437008731386,-0.7303407127452336,-0.8837070743208391,-0.7097245361269245,-0.5404629647093472,-0.761264964857414,0.11755251106684578,-0.08773479746753882,0.17983966388061506,59.625,2023,9,21,3,0,1,0,0,0
2023-09-22,-0.8888535999796533,-0.8231604486828084,-0.768576362704132,-0.4220891864992822,-0.7424762538038698,-1.0131802568483428,-0.2569511983979353,-0.3517118204654054,0.36494702912677424,63.833333333333336,2023,9,22,4,0,1,0,0,0
2023-09-23,-0.43835860990726155,-0.6139356340694229,-0.8315683971561564,-0.5829468701773003,-0.6070766657727739,-0.317990941450298,0.20727735812611647,0.2727823939409759,-0.13114070973293282,63.75,2023,9,23,5,1,1,0,0,0
2023-09-24,-0.6997188927325009,-0.8728671925182305,-0.9771310713628618,-0.6367932981881621,-1.0284807311957564,-1.3789418827197888,0.16241493459648126,0.28937523538655635,-1.0603796832686534,65.83333333333333,2023,9,24,6,1,1,0,0,0
2023-09-25,-0.6779549192916372,-0.8617085357388502,-0.8960501080986005,-0.5379612467758205,-0.979244517366267,-1.11975980345989,-0.178929592259439,0.29540899591222164,-0.3606738426381705,57.66666666666666,2023,9,25,0,0,1,0,0,0
2023-09-26,-0.06374862457558049,-0.34257738966175927,-0.4868146950876435,-0.04175618865040911,-0.42244086391218866,-0.44394858744576216,0.8392523678479347,0.363288801825959,-0.8382508449732622,68.41666666666667,2023,9,26,1,0,1,0,0,0
2023-09-27,-0.2526907302878578,-0.2558441937856649,-0.47468447223708476,-0.138884239176331,-0.7127897131125599,0.38446516121671703,1.0401580036545617,-0.15259772311844322,0.05026450820830296,84.45833333333333,2023,9,27,2,0,1,0,0,0
2023-09-28,0.14040900239181361,0.016782079801473504,-0.26293759967031305,0.05877986364835194,-0.5136726718903603,0.47166660844434644,0.7066156374124914,0.060092335411266296,0.035455918988610655,83.125,2023,9,28,3,0,1,0,0,0
2023-09-29,0.46648340093501967,0.25060666049667524,-0.05629818935640792,0.18521672942069273,-0.5933194883792401,0.5394899562880584,0.267744102883451,0.1762422255303278,0.2057546950150771,99.83333333333331,2023,9,29,4,0,1,0,0,0
2023-09-30,0.5103965508864964,0.28256099581944677,0.2516392223060228,0.2554215659411834,-0.5911473024749981,0.130127606802798,-0.39543954929376557,0.11892150053650513,0.642608076996013,100.0,2023,9,30,5,1,1,0,0,0
2023-10-01,0.7917873933387258,0.2290501644455993,0.22865564216812198,0.48034968294858144,-0.5810104349218678,0.47166660844434644,-0.47151061527879917,0.8399558833535352,0.7055445811797075,101.25,2023,10,1,6,1,0,1,0,0
2023-10-02,1.5791424679073183,0.6170670933649686,0.5127582299838409,0.8933994978167121,-0.3377256136467439,0.5685571053639349,-0.38373630837299116,1.5715493470904796,0.5759694255073962,107.75,2023,10,2,0,0,0,1,0,0
2023-10-03,1.5741348280005703,0.2627797406196356,-0.030548067164871042,0.3760648286996967,-0.4680567679012746,1.065120902076824,-0.520274119115359,2.3906323384495742,0.5907780147270889,107.58333333333331,2023,10,3,1,0,0,1,0,0
2023-10-04,1.2894697594554678,0.265315798978586,0.24695738190756172,1.0954940029460867,-0.28921346178533525,-0.020052663422563455,-0.6782678715458139,1.7133427194436195,0.7647789380584787,100.75,2023,10,4,2,0,0,1,0,0
2023-10-05,1.084541726348574,0.39313314026967244,0.7055649300295651,1.8094703743559333,-0.015518037850820563,-0.5166164601354533,-0.9162337702682266,1.0028674175465042,0.8314175895470954,104.45833333333331,2023,10,5,3,0,0,1,0,0
2023-10-06,0.573762455860339,0.2577076239017356,0.11352493055141509,1.0150651611070776,-0.21391101710493968,-0.6062401697860722,-0.7231302950754488,0.11892150053650513,0.7314596123141703,99.33333333333331,2023,10,6,4,0,0,1,0,0
2023-10-07,0.6482992498569252,0.39795165115167763,0.0596837659691102,0.8490954747698003,-0.2660434788067518,-0.45848216198370034,-0.520274119115359,-0.13600488167286295,0.6055866039467812,96.875,2023,10,7,5,1,0,1,0,0
2023-10-08,0.8534198844986937,0.5924673272831523,0.37868734584608593,1.3009965098482998,0.1843230653394599,-0.2647011681445242,-0.5787903237192313,-0.15863148364410865,0.6018844566418582,114.79166666666669,2023,10,8,6,1,0,1,0,0
2023-10-09,-0.03967343271621785,-0.08136337868989621,-0.21079892250563037,0.4789864822394458,-0.20377414955180947,-0.3252577287192671,-0.8538164853574298,-0.41506630598489336,0.6055866039467812,103.91666666666669,2023,10,9,0,0,0,1,0,0
2023-10-10,-0.8588077605391687,-0.6846916622841313,-0.46297987124093143,0.16953992126563167,-0.524533601411571,-0.5795952831331862,-1.113238325767929,-0.647366086223016,0.753672496143709,67.875,2023,10,10,1,0,0,1,0,0
2023-10-11,0.42584447707641554,0.2386871862096097,0.7185463965889348,1.5995374651490286,0.18359900337137924,-0.6159292194780318,-0.8967283687336024,-0.16013992377552508,0.6055866039467812,87.625,2023,10,11,2,0,0,1,0,0
2023-10-12,1.1386627576484216,0.8633183600190255,1.082665893032901,1.5463726374927347,1.0836080296957213,0.8568063336997096,-0.6197516669419414,-0.21896908890076391,0.46120285905477715,110.95833333333331,2023,10,12,3,0,0,1,0,0
2023-10-13,1.8025602483622023,1.454219957654405,1.4872194656453968,1.7566463468769236,1.685303525170805,1.2589018959160017,0.2852989642646125,-0.3486949402025727,-0.14224715164770255,139.54166666666666,2023,10,13,4,0,0,1,0,0
2023-10-14,2.5924191428841667,2.0228042417310235,1.3161194801743572,1.4840062050497742,1.5448355033631436,1.4018153788723933,1.8028192036583608,-0.35472870072823814,-0.6161220066778709,148.91666666666666,2023,10,14,5,1,0,1,0,0
2023-10-15,0.590903992464205,0.4496872416742603,-0.09609383274332894,0.42002805156932493,-0.3478624811998741,-0.2404785439146269,1.0733171862634225,-0.5825031605721117,-0.18297077200185766,137.20833333333334,2023,10,15,6,1,0,1,0,0
